LAT,LON,UTCTIMESOD,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
-65.392216,98.825362,10031.6699,-9999.00,1785.6891,2019111501001,1790.42,-9999.00,1
-65.392248,98.825050,10031.7791,-9999.00,1784.6119,2019111501001,1790.42,-9999.00,1
-65.392280,98.824737,10031.8882,  0.00,1783.5319,2019111501001,1790.41,1790.41,1
-65.392312,98.824425,10031.9974,  0.00,1782.4481,2019111501001,1789.37,1789.37,1
-65.392344,98.824112,10032.1065,  0.00,1781.3600,2019111501001,1786.28,1786.28,1
-65.392376,98.823800,10032.2157,  0.00,1780.2672,2019111501001,1783.19,1783.19,1
-65.392408,98.823488,10032.3248,  0.00,1779.1693,2019111501001,1782.13,1782.13,1
-65.392440,98.823175,10032.4340,  0.00,1778.0658,2019111501001,1782.10,1782.10,1
-65.392472,98.822863,10032.5431,  0.00,1776.9565,2019111501001,1782.00,1782.00,1
-65.392504,98.822550,10032.6522,  0.00,1775.8411,2019111501001,1779.03,1779.03,1
-65.392536,98.822238,10032.7613,  0.00,1774.7196,2019111501001,1775.89,1775.89,1
-65.392568,98.821925,10032.8704,  0.00,1773.5919,2019111501001,1771.71,1771.71,1
-65.392600,98.821613,10032.9795,  0.00,1772.4581,2019111501001,1765.61,1765.61,1
-65.392632,98.821301,10033.0885,  0.00,1771.3181,2019111501001,1759.61,1759.61,1
-65.392664,98.820988,10033.1976,  0.00,1770.1722,2019111501001,1759.35,1759.35,1
-65.392696,98.820676,10033.3066,  0.00,1769.0205,2019111501001,1762.21,1762.21,1
-65.392728,98.820364,10033.4157,  0.00,1767.8632,2019111501001,1764.65,1764.65,1
-65.392760,98.820051,10033.5247,  0.00,1766.7004,2019111501001,1756.42,1756.42,1
-65.392792,98.819739,10033.6337,  0.00,1765.5322,2019111501001,1747.27,1747.27,1
-65.392824,98.819427,10033.7427,  0.00,1764.3583,2019111501001,1741.15,1741.15,1
-65.392856,98.819114,10033.8517,  0.00,1763.1789,2019111501001,1740.48,1740.48,1
-65.392888,98.818802,10033.9607,  0.00,1761.9939,2019111501001,1740.34,1740.34,1
-65.392920,98.818490,10034.0696,  0.00,1760.8031,2019111501001,1738.43,1738.43,1
-65.392952,98.818177,10034.1786,  0.00,1759.6067,2019111501001,1735.45,1735.45,1
-65.392984,98.817865,10034.2875,  0.00,1758.4049,2019111501001,1732.57,1732.57,1
-65.393016,98.817553,10034.3965,  0.00,1757.1978,2019111501001,1732.16,1732.16,1
-65.393048,98.817240,10034.5054,  0.00,1755.9854,2019111501001,1732.14,1732.14,1
-65.393080,98.816928,10034.6143,  0.00,1754.7680,2019111501001,1732.14,1732.14,1
-65.393112,98.816616,10034.7231,  0.00,1753.5460,2019111501001,1732.14,1732.14,1
-65.393143,98.816303,10034.8320,  0.00,1752.3198,2019111501001,1732.14,1732.14,1
-65.393175,98.815991,10034.9409,  0.00,1751.0898,2019111501001,1732.14,1732.14,1
-65.393207,98.815679,10035.0497,  0.00,1749.8565,2019111501001,1732.14,1732.14,1
-65.393239,98.815366,10035.1585,  0.00,1748.6199,2019111501001,1731.87,1731.87,1
-65.393271,98.815054,10035.2673,  0.00,1747.3807,2019111501001,1729.32,1729.32,1
-65.393303,98.814742,10035.3761,  0.00,1746.1391,2019111501001,1726.33,1726.33,1
-65.393335,98.814429,10035.4849,  0.00,1744.8955,2019111501001,1724.25,1724.25,1
-65.393366,98.814117,10035.5937,  0.00,1743.6500,2019111501001,1723.83,1723.83,1
-65.393398,98.813805,10035.7024,  0.00,1742.4027,2019111501001,1723.81,1723.81,1
-65.393430,98.813492,10035.8112,  0.00,1741.1534,2019111501001,1723.81,1723.81,1
-65.393462,98.813180,10035.9199,  0.00,1739.9026,2019111501001,1723.81,1723.81,1
-65.393493,98.812868,10036.0286,  0.00,1738.6498,2019111501001,1723.81,1723.81,1
-65.393525,98.812555,10036.1373,  0.00,1737.3951,2019111501001,1723.81,1723.81,1
-65.393557,98.812243,10036.2460,  0.00,1736.1386,2019111501001,1723.81,1723.81,1
-65.393589,98.811931,10036.3546,  0.00,1734.8805,2019111501001,1723.81,1723.81,1
-65.393620,98.811618,10036.4633,  0.00,1733.6208,2019111501001,1723.81,1723.81,1
-65.393652,98.811306,10036.5719,  0.00,1732.3601,2019111501001,1723.81,1723.81,1
-65.393684,98.810994,10036.6805,  0.00,1731.0987,2019111501001,1723.81,1723.81,1
-65.393715,98.810681,10036.7891,  0.00,1729.8371,2019111501001,1723.81,1723.81,1
-65.393747,98.810369,10036.8977,  0.00,1728.5757,2019111501001,1723.81,1723.81,1
-65.393778,98.810056,10037.0063,  0.00,1727.3150,2019111501001,1723.81,1723.81,1
-65.393810,98.809744,10037.1148,  0.00,1726.0553,2019111501001,1723.70,1723.70,1
